day,Rain_Data,Temp_SoilDailyData,Temp_DailyPotEvap
1,19,26.36633333,3.327864263
2,25.1125,26.39108,3.337852024
3,6.625,26.64964,3.44380476
4,4.61875,26.73924,3.481204534
5,4.872222222,26.537,3.397287873
6,2.111111111,26.64452,3.441678288
7,3.965,26.69828,3.464063686
8,6.115,26.72388,3.474768062
9,7.53,26.51652,3.388889936
10,8.55,26.46276,3.366932524
11,11.17222222,26.62148,3.432123399
12,9.855555556,26.53956,3.398338905
13,5.4,26.60868,3.426825189
14,3.3875,26.63684,3.438490736
15,19.54285714,26.31684,3.307968575
16,12.55,26.5754,3.413083455
17,8,26.63684,3.438490736
18,15.62222222,26.59844,3.422591794
19,5.54,26.36804,3.328552219
20,7.695,26.47556,3.372149036
21,2.50625,26.71364,3.470482851
22,12.11,26.6266,3.434244695
23,5.644444444,26.72132,3.473696327
24,1.03125,26.66756,3.45125648
25,3.26,26.73412,3.479057889
26,4.6375,26.58564,3.417306513
27,12.265,26.59076,3.419419764
28,2.122222222,26.52932,3.394136498
29,4.985,26.46588889,3.368207011
30,23.5125,26.6394,3.439552966
31,7.11,26.39876,3.34095709
32,12.07142857,26.39876,3.313794837
33,16.84375,26.30404,3.275988083
34,8.95,26.45764,3.337491433
35,3.483333333,26.48836,3.349914383
36,8.6,26.40388,3.315849465
37,5.527777778,26.65988,3.420028141
38,10.03,26.50628,3.357179973
39,10.78888889,26.50884,3.35821905
40,6.58,26.54212,3.371752904
41,6.505555556,26.43716,3.329232146
42,10.49,26.41156,3.31893353
43,17.12777778,26.35268,3.295354072
44,5.025,26.40132,3.31482201
45,17.325,26.37771111,3.305359916
46,1.966666667,26.38908889,3.309916959
47,11.285,26.32964,3.286168011
48,5.77,26.28356,3.267864439
49,14.875,26.31172,3.2790391
50,13.855,26.20164,3.235550021
51,4.966666667,26.48068,3.346804816
52,10.00555556,26.23748,3.249652139
53,7.565,26.47044,3.342662699
54,12.25,26.49092,3.350951473
55,9.21875,26.51396,3.360298056
56,7.711111111,26.59332,3.392668065
57,7.825,26.57796,3.386381563
58,7.394444444,26.409,3.317905226
59,9.005555556,26.54212,3.371752904
60,10.66875,26.48836,3.322456069
61,13.2375,26.41156,3.291729157
62,13.4,26.09668,3.168382396
63,11.17777778,26.20932,3.212021633
64,8.905,26.36292,3.272399483
65,2.757142857,26.5882,3.362779856
66,15.13125,26.40132,3.287651337
67,17.40714286,26.4602,3.311160159
68,0.99375,26.59588,3.365899462
69,2.0875,26.50116,3.327601829
70,15.24285714,26.42948,3.298876149
71,13.155,26.11716,3.176276777
72,24.745,26.409,3.290709281
73,20.67222222,26.13308889,3.182429139
74,21.75833333,26.55406667,3.348945691
75,8.1625,26.57113333,3.355856501
76,8.144444444,26.70482222,3.410425831
77,5.633333333,26.5626,3.352399528
78,7.638888889,26.59104444,3.363934969
79,7.861111111,26.48011111,3.31914364
80,19.72777778,26.44882222,3.306605807
81,21.9375,26.2298,3.220013933
82,12.48333333,26.53984444,3.343196261
83,1.51,26.44882222,3.306605807
84,6.111111111,26.49717778,3.326000172
85,5.625,26.61095556,3.372030526
86,9.783333333,26.46304444,3.312299615
87,0.35,26.5114,3.331723506
88,11.795,26.5626,3.352399528
89,4.21,26.60811111,3.370872972
90,2.8,26.42606667,3.297513757
91,7.911111111,26.65077778,3.360270699
92,5.45625,26.57966667,3.331553663
93,4.31875,26.59673333,3.338426025
94,2.916666667,26.42037778,3.268010788
95,10.29375,26.57397778,3.329265642
96,13.435,26.5114,3.304188601
97,8.80625,26.29237778,3.217731057
98,13.92222222,26.40046667,3.260143856
99,5.133333333,26.06197778,3.128971576
100,9.575,26.20135556,3.182398347
101,9.122222222,26.53131111,3.312149535
102,7.415,26.44028889,3.275894565
103,7.116666667,26.53415556,3.313288192
104,2.58125,26.5626,3.324693747
105,9.21875,26.44028889,3.275894565
106,10.08888889,26.3834,3.25341417
107,9.76875,26.43175556,3.27251374
108,6.15,26.62233333,3.34875792
109,4.922222222,26.47157778,3.28831742
110,1.3875,26.53131111,3.312149535
111,2.2625,26.50002222,3.299647084
112,2.844444444,26.42037778,3.268010788
113,3.29375,26.297,3.219534635
114,5.255555556,26.2746,3.210802637
115,11.56111111,26.34357778,3.237759618
116,15.72222222,26.2874,3.215789752
117,4.722222222,26.34073333,3.236644008
118,8.678571429,26.281,3.213295329
119,4.04,26.4218,3.268573357
120,4.266666667,26.32935556,3.232184996
121,3.05625,26.49433333,3.269900241
122,8.11875,26.27815556,3.185419025
123,5.95,26.56544444,3.298120901
124,5.61875,26.59957778,3.311742857
125,3.60625,26.65362222,3.333412017
126,6.014285714,26.52562222,3.28229098
127,15.56,26.42606667,3.243009397
128,12.84375,26.26962222,3.182124532
129,3.411111111,26.5338,3.285536292
130,5.627777778,26.31228889,3.198627533
131,17.3,26.10748889,3.120107873
132,25.46666667,26.1914,3.152067082
133,14.13,26.20704444,3.158058094
134,19.9,26.12171111,3.125504018
135,13.175,26.30091111,3.194219267
136,10.9125,26.23833333,3.170070823
137,4.305,26.14731111,3.135238329
138,19.01875,26.3514,3.213822402
139,8.335,26.53415556,3.285677457
140,8.90625,26.28668889,3.188716571
141,12.31875,26.23548889,3.168977064
